,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
0,SE,SP,São José do Rio Preto,M,entre 31 a 40 anos,30/01/2019,1.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
1,SE,RJ,São Gonçalo,F,entre 21 a 30 anos,31/01/2019,4.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Loja física,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
2,NE,MA,Bacabal,F,entre 51 a 60 anos,07/01/2019,10.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Domicílio,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
3,S ,RS,Sapiranga,F,entre 31 a 40 anos,03/01/2019,6.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
4,NE,MA,Grajaú,F,entre 21 a 30 anos,07/01/2019,10.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
5,S ,RS,São Borja,M,mais de 70 anos,03/01/2019,6.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
6,NE,BA,Feira de Santana,M,entre 41 a 50 anos,04/01/2019,0.0,Coelba,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Internet,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
7,SE,SP,Bady Bassitt,F,entre 21 a 30 anos,22/01/2019,1.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Telefone,S,S,Finalizada avaliada,Não Resolvida,5.0,1,,,,,,
8,SE,RJ,Rio de Janeiro,F,mais de 70 anos,04/01/2019,0.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
9,NE,CE,Iguatu,F,entre 51 a 60 anos,10/01/2019,6.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
10,NE,MA,Grajaú,F,entre 31 a 40 anos,07/01/2019,10.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
11,SE,SP,São Bernardo do Campo,F,entre 41 a 50 anos,26/01/2019,8.0,Elektro,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
12,NE,CE,Maranguape,M,entre 31 a 40 anos,22/01/2019,1.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
13,NE,CE,Fortaleza,M,entre 31 a 40 anos,24/01/2019,0.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
14,S ,RS,Santa Maria,M,entre 21 a 30 anos,18/01/2019,2.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
15,SE,RJ,Rio de Janeiro,F,entre 31 a 40 anos,27/01/2019,6.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
16,SE,RJ,Rio de Janeiro,M,entre 21 a 30 anos,25/01/2019,1.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
17,NE,CE,Fortaleza,M,entre 41 a 50 anos,28/01/2019,1.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Loja física,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
18,SE,RJ,Rio de Janeiro,M,entre 31 a 40 anos,30/01/2019,1.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Dificuldade para contratar / recusa injustificada,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
19,NE,CE,Maracanaú,M,entre 31 a 40 anos,15/01/2019,1.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Telefone,S,S,Finalizada avaliada,Resolvida,1.0,1,,,,,,
20,S ,RS,Santiago,M,entre 51 a 60 anos,29/01/2019,2.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Falta de acessibilidade ou de atendimento prioritário,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
21,SE,SP,Sorocaba,F,entre 21 a 30 anos,29/01/2019,4.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Não comprei / contratei,N,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
22,SE,RJ,Cabo Frio,M,entre 51 a 60 anos,24/01/2019,7.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
23,NE,CE,Fortaleza,F,entre 31 a 40 anos,03/01/2019,6.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
24,NE,BA,Salvador,M,entre 41 a 50 anos,08/01/2019,7.0,Coelba,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
25,S ,RS,Sapiranga,F,entre 21 a 30 anos,24/01/2019,6.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Domicílio,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
26,SE,RJ,Rio de Janeiro,M,entre 41 a 50 anos,15/01/2019,8.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
27,SE,SP,Suzano,F,entre 41 a 50 anos,10/01/2019,6.0,Elektro,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Internet,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
28,NE,MA,Bom Lugar,F,entre 51 a 60 anos,08/01/2019,7.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Domicílio,S,S,Finalizada avaliada,Não Resolvida,3.0,1,,,,,,
29,NE,CE,Caucaia,F,entre 31 a 40 anos,17/01/2019,0.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Telefone,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
30,NE,CE,Fortaleza,M,entre 21 a 30 anos,15/01/2019,3.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Telefone,S,S,Finalizada avaliada,Resolvida,3.0,1,,,,,,
31,S ,RS,Canoas,M,entre 31 a 40 anos,16/01/2019,1.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Má qualidade no atendimento presencial ou outros canais (exceto SAC),Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
32,SE,RJ,Rio de Janeiro,M,entre 61 a 70 anos,16/01/2019,4.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Loja física,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
33,NE,CE,Juazeiro do Norte,M,entre 41 a 50 anos,14/01/2019,6.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Loja física,S,S,Finalizada avaliada,Resolvida,4.0,1,,,,,,
34,SE,SP,Francisco Morato,F,entre 21 a 30 anos,04/01/2019,0.0,Elektro,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
35,SE,SP,Barretos,F,entre 61 a 70 anos,28/01/2019,0.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
36,SE,RJ,Rio de Janeiro,M,entre 31 a 40 anos,17/01/2019,10.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Saúde e Segurança,"Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto",Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
37,NE,PE,Paulista,F,entre 31 a 40 anos,17/01/2019,3.0,Celpe,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
38,S ,PR,Foz do Iguaçu,M,entre 31 a 40 anos,31/01/2019,3.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança submetendo a ofensa, constrangimento ou ameaça",Não comprei / contratei,N,S,Finalizada avaliada,Resolvida,1.0,1,,,,,,
39,NE,MA,São Luís,M,entre 51 a 60 anos,18/01/2019,11.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
40,N ,AM,Manaus,F,entre 41 a 50 anos,08/01/2019,1.0,Eletrobrás Distribuição Rondônia (Ceron),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
41,SE,SP,Batatais,M,entre 61 a 70 anos,30/01/2019,6.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
42,SE,RJ,Rio de Janeiro,M,entre 61 a 70 anos,17/01/2019,1.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Saúde e Segurança,"Risco, dano físico ou mal estar decorrente da prestação do serviço/utilização do produto",Loja física,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
43,NE,BA,Rodelas,M,entre 21 a 30 anos,31/01/2019,4.0,Coelba,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores,Não comprei / contratei,N,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
44,SE,RJ,Niterói,M,mais de 70 anos,22/01/2019,7.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Não envio / atraso do boleto ou fatura / dificuldade com o pagamento,Loja física,N,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
45,S ,SC,Joinville,M,entre 51 a 60 anos,27/01/2019,8.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
46,SE,SP,Arujá,M,entre 21 a 30 anos,10/01/2019,3.0,Elektro,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
47,SE,RJ,Rio de Janeiro,F,entre 41 a 50 anos,23/01/2019,9.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
48,SE,SP,Praia Grande,M,entre 21 a 30 anos,07/01/2019,1.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Dificuldade de contato / acesso a outros canais (exceto SAC),Telefone,S,S,Finalizada avaliada,Resolvida,2.0,1,,,,,,
49,SE,RJ,Campos dos Goytacazes,M,entre 31 a 40 anos,09/01/2019,2.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Dificuldade para cancelar o serviço,Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
50,S ,RS,Garruchos,M,entre 31 a 40 anos,17/01/2019,3.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
51,S ,PR,Telêmaco Borba,F,entre 31 a 40 anos,05/01/2019,10.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
52,S ,PR,Curitiba,F,entre 31 a 40 anos,05/01/2019,9.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
53,SE,RJ,Resende,F,entre 61 a 70 anos,25/01/2019,8.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
54,SE,SP,Olímpia,M,entre 41 a 50 anos,07/01/2019,0.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Loja física,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
55,CO,GO,Catalão,F,entre 51 a 60 anos,21/01/2019,3.0,Enel Distribuição Goiás (CELG),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Domicílio,S,S,Finalizada avaliada,Resolvida,1.0,1,,,,,,
56,SE,RJ,Rio de Janeiro,M,entre 31 a 40 anos,07/01/2019,0.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
57,CO,GO,Goiânia,F,entre 21 a 30 anos,16/01/2019,6.0,Enel Distribuição Goiás (CELG),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Domicílio,N,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
58,NE,PE,Abreu e Lima,F,entre 41 a 50 anos,14/01/2019,4.0,Celpe,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,2.0,1,,,,,,
59,SE,RJ,Araruama,F,entre 41 a 50 anos,07/01/2019,0.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Domicílio,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
60,S ,PR,São Mateus do Sul,F,entre 51 a 60 anos,30/01/2019,1.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
61,SE,SP,São Paulo,M,entre 41 a 50 anos,23/01/2019,6.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Internet,S,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
62,S ,PR,Altônia,M,entre 41 a 50 anos,30/01/2019,2.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
63,S ,RS,Santiago,F,entre 21 a 30 anos,17/01/2019,1.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
64,SE,SP,Ribeirão Preto,F,entre 41 a 50 anos,29/01/2019,0.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Internet,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
65,S ,SC,Pomerode,M,entre 31 a 40 anos,16/01/2019,2.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
66,S ,PR,Curitiba,M,entre 31 a 40 anos,11/01/2019,10.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Domicílio,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
67,NE,BA,Ilhéus,M,entre 41 a 50 anos,30/01/2019,3.0,Coelba,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
68,S ,PR,São Mateus do Sul,F,até 20 anos,31/01/2019,0.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
69,NE,MA,Paço do Lumiar,F,entre 31 a 40 anos,28/01/2019,9.0,CEMAR,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,SAC - Demanda não resolvida / não respondida / respondida após o prazo,Não comprei / contratei,S,S,Finalizada avaliada,Resolvida,5.0,1,,,,,,
70,SE,RJ,Mendes,F,entre 61 a 70 anos,24/01/2019,6.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
71,S ,PR,Curitiba,M,entre 21 a 30 anos,31/01/2019,5.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
72,SE,RJ,Rio de Janeiro,F,entre 31 a 40 anos,11/01/2019,1.0,Light,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
73,NE,CE,Fortaleza,M,entre 21 a 30 anos,09/01/2019,3.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,N,S,Finalizada avaliada,Não Resolvida,5.0,1,,,,,,
74,SE,RJ,Niterói,M,entre 51 a 60 anos,11/01/2019,3.0,Enel Distribuição Rio (Ampla),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
75,SE,SP,Nova Odessa,M,entre 41 a 50 anos,31/01/2019,0.0,CPFL Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Telefone,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
76,NE,PI,Parnaíba,M,entre 31 a 40 anos,10/01/2019,2.0,Enel Distribuição Ceará (Coelce),"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Negativação indevida (SPC, Serasa, SCPC etc)",Não comprei / contratei,N,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
77,S ,RS,Taquari,M,entre 31 a 40 anos,30/01/2019,1.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Contrato / Oferta,Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa,Domicílio,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
78,S ,PR,Curitiba,M,entre 31 a 40 anos,11/01/2019,3.0,Copel - Companhia Paranaense de Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,0.0,1,,,,,,
79,NE,PE,Paulista,F,entre 41 a 50 anos,08/01/2019,2.0,Celpe,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
80,S ,RS,Santiago,F,entre 41 a 50 anos,24/01/2019,1.0,RGE - Rio Grande Energia,"Energia Elétrica, Gás, Água e Esgoto","Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Telefone,S,S,Finalizada avaliada,Não Resolvida,2.0,1,,,,,,
