,Região,UF,Cidade,Sexo,Faixa Etária,Data Finalização,Tempo Resposta,Nome Fantasia,Segmento de Mercado,Área,Assunto,Grupo Problema,Problema,Como Comprou Contratou,Procurou Empresa,Respondida,Situação,Avaliação Reclamação,Nota do Consumidor,Total,ï»¿RegiÃ£o,Faixa EtÃ¡ria,Data FinalizaÃ§Ã£o,Ãrea,SituaÃ§Ã£o,AvaliaÃ§Ã£o ReclamaÃ§Ã£o
4449,NE,MA,Imperatriz,F,entre 31 a 40 anos,22/11/2019,9.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4450,NE,PE,Recife,F,entre 51 a 60 anos,29/11/2019,10.0,Celpe,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Renegociação / parcelamento de dívida,Domicílio,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4451,CO,MT,São José do Rio Claro,M,entre 41 a 50 anos,20/11/2019,0.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4452,CO,GO,Valparaíso de Goiás,M,entre 41 a 50 anos,09/11/2019,6.0,Enel Distribuição Goiás (CELG),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Danos materiais causados por falha na prestação do serviço (queima de aparelhos elétricos),Domicílio,N,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4453,SE,SP,São Paulo,M,entre 41 a 50 anos,30/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Serviço não realizado no prazo ou incompleto,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4454,NE,MA,Parnarama,F,entre 41 a 50 anos,22/11/2019,9.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4455,NE,SE,Aracaju,M,entre 31 a 40 anos,19/11/2019,1.0,Energisa Sergipe,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Atendimento / SAC,Falta de acessibilidade ou de atendimento prioritário,Loja física,N,S,Finalizada avaliada,Resolvida,2.0,1,,,,,,
4456,NE,MA,São Domingos do Maranhão,F,entre 41 a 50 anos,11/11/2019,10.0,CEMAR,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4457,CO,MT,Cuiabá,M,entre 31 a 40 anos,10/11/2019,1.0,Energisa Mato Grosso,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4458,SE,RJ,Rio de Janeiro,M,entre 41 a 50 anos,19/11/2019,6.0,Light,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Má qualidade do serviço,Domicílio,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4459,SE,SP,São Paulo,M,entre 41 a 50 anos,19/11/2019,6.0,Enel Distribuição São Paulo (Eletropaulo),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4460,S ,PR,Araucária,F,entre 31 a 40 anos,26/11/2019,5.0,Copel - Companhia Paranaense de Energia,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Vício de Qualidade,Interrupção/instabilidade do fornecimento,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
4461,NE,CE,Fortaleza,M,entre 21 a 30 anos,14/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,"Cobrança de tarifas, taxas, valores não previstos / não informados",Domicílio,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4462,NE,CE,Iguatu,M,entre 21 a 30 anos,11/11/2019,10.0,Enel Distribuição Ceará (Coelce),Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança indevida / abusiva para alterar ou cancelar o contrato,Loja física,S,S,Finalizada avaliada,Não Resolvida,1.0,1,,,,,,
4463,SE,RJ,Rio de Janeiro,M,entre 41 a 50 anos,14/11/2019,1.0,Light,Energia Elétrica,"Água, Energia, Gás",Energia Elétrica,Cobrança / Contestação,Cobrança por serviço não fornecido/ em desacordo com a utilização / fora do prazo,Não comprei / contratei,S,S,Finalizada não avaliada,Não Avaliada,,1,,,,,,
